BEDRIJFSNAAM;VESTIGINGSPLAATS;UITGEKEERDE SUBSIDIEBEDRAG
INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP B.V.;BORN;929688
AUDAX LOGISTIEK B.V.;GILZE;926844
FC EMMEN B.V.;EMMEN;926384
INTERO INTEGRITY SERVICES B.V.;TRICHT;926380
3D SALARIS B.V.;SON EN BREUGEL;924696
GL EVENTS WORLD FORUM CONVENTION    CENTER B.V.;'S-GRAVENHAGE;923932
PROJECTWISE B.V.;BREDA;921344
VETH PROPULSION B.V.;PAPENDRECHT;916912
WAGENBORG NEDLIFT B.V.;GRONINGEN;914636
CONDOR CARPETS B.V.;HASSELT;912884
CO-FLEX TPF B.V.;SITTARD;910968
DANIELI CORUS B.V.;VELSEN-NOORD;909728
MANSVELD ELEKTROTECHNIEK B.V.;EINDHOVEN;907260
FOKKER TECHNOLOGIES HOLDING B.V.;PAPENDRECHT;907180
HOUSINGANYWHERE B.V.;ROTTERDAM;906904
ARTIFLEX B.V.;CAPELLE AAN DEN IJSSEL;906752
HOTEL NEW YORK B.V.;ROTTERDAM;906196
MODIS B.V.;ZALTBOMMEL;903844
CAREERMAKER UITZENDORGANISATIE B.V.;ROTTERDAM;903804
VENCO NEDERLAND B.V.;EERSEL;903352
HILVERDAFLORIST B.V.;DE KWAKEL;903344
JANOT ENTERTAINMENT BV;AMSTERDAM;902552
VALTECH B.V.;UTRECHT;901144
PLATO GROUP B.V.;HELMOND;895020
TOURINGCARBEDRIJF BETUWE            EXPRESS B.V.;HERVELD;893528
KONINGSHOF B.V.;VELDHOVEN;893246
EURAMAX COATED PRODUCTS B.V.;ROERMOND;892852
MOTORHUIS B.V.;LEIDEN;891848
SEE TICKETS B.V.;AMSTERDAM;891808
JOBXION VAKMENSEN B.V.;TIEL;888272
SMIT'S BOUWBEDRIJF B.V.;BEVERWIJK;885364
EPSON EUROPE B.V.;AMSTERDAM;883240
VDL ETG TECHNOLOGY &                DEVELOPMENT B.V.;EINDHOVEN;883016
STAGE ENTERTAINMENT B.V.;AMSTERDAM;882680
SNOWWORLD LEISURE N.V.;ZOETERMEER;882468
ROBERT WALTERS B.V.;AMSTERDAM;882044
FLEXBUREAU B.V.;BARNEVELD;881632
MICHAEL KORS (EUROPE) B.V.;VENLO;880352
WITHLOCALS B.V.;EINDHOVEN;879888
PEAK IT B.V.;NAARDEN;878768
ARBEX SERVICES B.V.;AMSTERDAM;877136
STICHTING CED-GROEP;ROTTERDAM;875436
AMSTELSIDE B.V.;AMSTERDAM-DUIVENDRECHT;875224
ELYSIUM B.V.;EMST;874944
INBO B.V.;AMERSFOORT;873836
HYPSOS B.V.;SOESTERBERG;871268
ALMATIS B.V.;BOTLEK ROTTERDAM;871000
COVEBO UITZENDGROEP B.V.;NIJKERK GLD;869432
MAYFRAN-LIMBURG B.V.;LANDGRAAF;869132
STICHTING ONDERWIJSADVIES;ZOETERMEER;869080
COMPASS GROUP NEDERLAND B.V.;AMSTERDAM;867456
MANPOWER SPECIAL STAFFING B.V.;DIEMEN;867324
SOLIDD STEEL STRUCTURES B.V.;SUMAR;865988
BRINKS METAALBEWERKING B.V.;VRIEZENVEEN;865848
KLM EQUIPMENT SERVICES B.V.;SCHIPHOL;865240
ACCOR HOSPITALITY NEDERLAND N.V.;AMSTERDAM;864084
ACSI PUBLISHING B.V.;ANDELST;858688
POUW VERVOER B.V.;VIANEN UT;857724
QUADIENT TECHNOLOGIES NETHERLANDS B.V.;DRACHTEN;855436
BUSINESS PEOPLE PAYROLL B.V.;POELDIJK;851800
THERMEN BERENDONCK B.V.;WIJCHEN;851308
TEBULO ENGINEERING B.V.;ALKMAAR;851180
BOSE PRODUCTS B.V.;PURMEREND;851108
VERBRUGGE ZEELAND TERMINALS B.V.;RITTHEM;850812
BIKKEL DETACHERING B.V.;HOOGEVEEN;849652
L. VAN HEEK TEXTILES B.V.;LOSSER;848356
MCI AMSTERDAM B.V.;AMSTERDAM;846396
BOURGONJE GELUID- EN                LICHTSERVICE B.V.;ZOETERMEER;846012
JK TRANSPORT SUPPLY B.V.;STEENWIJK;845516
MODINE UDEN B.V.;UDEN;842852
TAXI BROUWER B.V.;NOORDWIJK ZH;842308
BRIBUS B.V.;DINXPERLO;841956
AWVN (ALGEMENE WERKGEVERSVERENIGING NEDERLAND);'S-GRAVENHAGE;841540
TRIPLET B.V.;HAARLEM;840896
NEDLIN B.V.;ELSLOO LB;840240
HIHCL HR AMSTERDAM B.V.;AMSTERDAM;838952
KOOPMAN AUTOTRANSPORT B.V.;NOORDHORN;837172
LANGUAGE INSTITUTE REGINA           COELI B.V.;VUGHT;836252
ACCOR HOSPITALITY NEDERLAND N.V.;SCHIPHOL;832000
RELYON NUTEC NETHERLANDS B.V.;MAASVLAKTE ROTTERDAM;831924
SNIJDER PROJECT SUPPORT B.V.;HOORN NH;829988
STADION FEIJENOORD N.V.;ROTTERDAM;829308
TORAY ADVANCED COMPOSITES NETHERLANDS B.V.;NIJVERDAL;826084
IN PERSON FOOD B.V.;APELDOORN;823920
MOTEL HAARLEMMERMEER B.V.;HOOFDDORP;823136
ASITO TRANSPORT TERMINAL            SERVICES B.V.;ALMELO;820276
STAM AUTOBEDRIJVEN II B.V.;AMERSFOORT;820152
J.A. MEEDER B.V.;BARENDRECHT;819232
PAYPER PAYROLL B.V.;BREDA;818224
LEEUWENHORST CONGRES CENTER B.V.;NOORDWIJKERHOUT;816921
NEWREST INFLIGHT NETHERLANDS B.V.;SCHIPHOL;813924
FATTAL NETHERLANDS OPCOS B.V.;AMSTERDAM;812964
UITZENDBUREAU 65PLUS B.V.;ZAANDAM;811004
DINNISSEN B.V.;SEVENUM;810752
HIGHLITE INTERNATIONAL B.V.;KERKRADE;810596
FC GRONINGEN B.V.;GRONINGEN;809192
PEETERS NEDERLAND B.V.;BERGEN OP ZOOM;808828
PNO CONSULTANTS B.V.;RIJSWIJK ZH;807184
HERTZ AUTOMOBIELEN NEDERLAND B.V.;HOOFDDORP;805928
DAVID LLOYD HEALTH & FITNESS B.V.;VELDHOVEN;803212
Q-DANCE B.V.;AMSTERDAM;802920
DAXXA PROFESSIONALS B.V.;OUD GASTEL;799124
HELIOX B.V.;BEST;798836
TAXIWERQ AOW-WERKT B.V.;HOOGEVEEN;796516
PRESTON PALACE B.V.;ALMELO;796244
GOFLEX YOUNG PROFESSIONALS B.V.;SCHIEDAM;795852
SCHUNK XYCARB TECHNOLOGY B.V.;HELMOND;792644
CORDEEL NEDERLAND B.V.;ZWIJNDRECHT;792336
NO BROTHERS NEDERLAND B.V.;DUIVEN;792108
NEDAL ALUMINIUM B.V.;UTRECHT;789392
TOWER HOTEL ROTTERDAM B.V.;ROTTERDAM;789024
MACBLAUWFACILITY B.V.;AMSTERDAM;789008
PAYPER PAYROLL B.V.;BREDA;788516
BURO DE WERKSTUDENT B.V.;AMSTERDAM;784236
ACS AUDIOVISUAL SOLUTIONS B.V.;AMSTERDAM;783808
JELLE B.V.;ROTTERDAM;783560
EINDHOVEN AIRPORT N.V.;EINDHOVEN;783508
FLEXPEDIA OPERATIONS B.V.;HAARLEM;783376
SCHIPHOL TRAVEL B.V.;SCHIPHOL;783048
T & S FLEX LOGISTIEK B.V.;WAALWIJK;782768
THE INSIDE B.V.;DEVENTER;782636
MODEXPRESS B.V.;HELMOND;782156
KINGSPAN INSULATION B.V.;WINTERSWIJK;781708
ENRAF-NONIUS B.V.;ROTTERDAM;780672
BAS TRUCK CENTER B.V.;VEGHEL;778536
SPA SPORT HOTEL ZUIVER B.V.;AMSTERDAM;777960
HEMAN VERHUURSERVICE B.V.;AMSTERDAM-DUIVENDRECHT;777576
KSE PROCESS TECHNOLOGY B.V.;BLADEL;777288
INTRO PERSONEEL B.V.;HARDINXVELD-GIESSENDAM;777284
KINKELDER B.V.;ZEVENAAR;776976
GANESHI VLEESVERWERKING B.V.;ENSCHEDE;776824
AUTOBEDRIJF BOCHANE B.V.;VEENENDAAL;776356
WILTEC B.V.;UDEN;774312
ADMIDEX B.V.;APELDOORN;773660
STERN 3F B.V.;HOOFDDORP;773460
STABILO INTERNATIONAL B.V.;EINDHOVEN;772924
GIELISSEN'S BEDRIJVEN B.V.;EINDHOVEN;772604
KOLIBRIE PAYROLLING B.V.;TILBURG;772288
AVEX B.V.;BREUKELEN UT;771488
BREDENOORD B.V.;APELDOORN;769680
WORKTRANS DIENSTVERLENING B.V.;PURMEREND;769548
VDL ENERGY SYSTEMS B.V.;HENGELO OV;767760
AMPELMANN OPERATIONS B.V.;DELFT;767748
N.V. ADO DEN HAAG;'S-GRAVENHAGE;765276
ZIEZZO B.V.;AMERSFOORT;765264
MENZIES WORLD CARGO (AMSTERDAM) B.V.;SCHIPHOL;764596
AMERPODIA B.V.;AMSTERDAM;764072
RAMIX MOULDS B.V.;DEDEMSVAART;762544
TRUCKLAND B.V.;AMSTERDAM;759952
DEERNS NEDERLAND B.V.;'S-GRAVENHAGE;759520
THE HOXTON (AMSTERDAM) B.V.;AMSTERDAM;757808
SMEETS M.B. ZUID -LIMBURG B.V.;HOENSBROEK;756028
PLEASE LIZA B.V.;HELMOND;753436
VDL BUS VALKENSWAARD B.V.;VALKENSWAARD;753412
NETT STAFF B.V.;ROTTERDAM;752208
YANMAR EUROPE B.V.;ALMERE;751080
VIKU B.V.;HENDRIK-IDO-AMBACHT;750104
KONINKLIJK INSTITUUT                VOOR DE TROPEN;AMSTERDAM;749988
EXPRO NORTH SEA LIMITED;DEN HELDER;748008
MARKIES CATERING ADVIES B.V.;'S-HERTOGENBOSCH;747216
KONINKLIJKE NEDERLANDSE HOCKEY BOND (KNHB);UTRECHT;746768
AIRBORNE DEVELOPMENT B.V.;'S-GRAVENHAGE;746172
AUTO INDUMIJ B.V.;DORDRECHT;743300
DYDL GENERAL PARTNER B.V.;AMSTERDAM;742948
WESTERDUIN PERSONEEL B.V.;BARNEVELD;740268
STICHTING MELKWEG;AMSTERDAM;740160
NAYAK AIRCRAFT SERVICE NETHERLANDS BV;LIJNDEN;738392
CAS EXHIBITION PARTNERS B.V.;BELFELD;738392
MF UITZENDBUREAU INDUSTRIEEL B.V.;GRONINGEN;738368
QBUZZ GRONINGEN UTRECHT B.V.;AMERSFOORT;737156
VELUWSEBRON B.V.;EMST;736248
SEKISUI S-LEC B.V.;ROERMOND;734536
SYNERGIE INTERNATIONAL RECRUITMENT  B.V.;SCHIJNDEL;734180
LOXAM B.V.;RIDDERKERK;734072
SERVICE-BUREAU ZUIDGEEST I B.V.;ROTTERDAM;731796
RAYMAKERSKAYSER PERSONEEL &         ORGANISATIE B.V.;AMSTERDAM;731256
ACTIEF WERKT! BEHEER B.V.;BREDA;729292
CONSOLID B.V.;HOOFDDORP;729048
BREEWEL TRANSPORT B.V.;MIJDRECHT;728012
V.V.V. VENLO B.V.;VENLO;727884
KLM LUCHTVAARTSCHOOL B.V.;EELDE;726956
STICHTING VAM,OPLEIDINGSINSTITUUT   VOOR HET MOTORVOERTUIG-,TWEEWIELER- EN AANVERWANT BEDRIJF;NIEUWEGEIN;726568
HOYER NEDERLAND B.V.;BOTLEK ROTTERDAM;723980
STICHTING CONCERT- EN               CONGRESGEBOUW DE DOELEN;ROTTERDAM;723156
KLUH SERVICE MANAGEMENT NEDERLAND   B.V.;SCHIPHOL;722360
A'DAM SIX SENSES B.V.;AMSTERDAM;722356
NEDERLANDSE VERENIGING DE RIJWIEL   EN AUTOMOBIEL INDUSTRIE H/O         RAI VERENIGING;AMSTERDAM;721740
TEAM INDUSTRIAL SERVICES            NETHERLANDS B.V.;VLISSINGEN;720628
HANDELMAATSCHAPPIJ A.SMIT EN        ZOON B.V.;WEESP;717948
BOUWBEDRIJF L. V.D. VEN B.V.;VEGHEL;717324
ANNE FRANK STICHTING;AMSTERDAM;715000
DE KLOP GROEP B.V.;VIANEN UT;712108
DE JONG INTRA VAKANTIES B.V.;RIDDERKERK;712048
PIVOTON SOFTWARE B.V.;EDE GLD;711328
FUJIFILM EUROPE B.V.;TILBURG;710736
VASTBOUW B.V.;RIJSSEN;709116
ZORGVERVOER METROPOOL B.V.;ROTTERDAM;705944
VHC JONGENS B.V.;OOSTZAAN;705832
B.V. VACUMETAL;OOSTERHOUT NB;705600
BRISKER GROEP B.V.;ROTTERDAM;705384
V-NOM PROJECT- & INTERIMMANAGEMENT  B.V.;ROTTERDAM;703508
DIRECT PEOPLE B.V.;EINDHOVEN;702716
ABOUT BACKOFFICE SERVICES B.V.;WEESP;702232
VENTILEX B.V.;HEERDE;701576
THERMEN BAD NIEUWESCHANS B.V.;BAD NIEUWESCHANS;701176
CONTINU B.V.;EINDHOVEN;700176
HUTTEN FOOD CARE B.V.;VEGHEL;698092
ADECCO PAYROLL B.V.;ZALTBOMMEL;697548
MUPOL PERSONEELSDIENSTEN B.V.;ZALTBOMMEL;696684
KONINKLIJKE BEUK B.V.;NOORDWIJK ZH;696568
LUMICKS B.V.;AMSTERDAM;695528
BROUWER'S TOURS B.V.;NOORDWIJK ZH;694296
INWORK PAYROLL B.V.;AMSTERDAM;692128
EMMTEC SERVICES BV;EMMEN;692032
BAGGERBEDRIJF DE BOER B.V.;SLIEDRECHT;691316
EXTERION MEDIA (NETHERLANDS) B.V.;AMSTERDAM;689504
HILFORT B.V.;AMERSFOORT;689448
CORENDON VILLAGE EXPLOITATIE B.V.;BADHOEVEDORP;689300
SCHUITEMAKER MACHINES B.V.;RIJSSEN;686892
A.Z. N.V.;ALKMAAR;684768
STICHTING LEGER DES HEILS RESHARE;OOSTERHOUT NB;684156
CONTIWEB B.V.;BOXMEER;683204
R-RECRUITMENT B.V.;HAREN GN;682524
STICHTING AMSTERDAM&PARTNERS;AMSTERDAM;682176
DIFUZED EUROPE;UITGEEST;682096
MANPOWER B.V.;DIEMEN;681048
GPD UITZENDBUREAU B.V.;KUDELSTAART;680316
TICKETMASTER B.V.;'S-GRAVENHAGE;680220
SOCIETE AIR FRANCE;AMSTELVEEN;679380
VAN DER HOEVEN HORTICULTURAL        PROJECTS B.V.;DEN HOORN ZH;677184
TSH EUROPE B.V.;AMSTERDAM;677172
PROPONENT NETHERLANDS B.V.;ALPHEN AAN DEN RIJN;676720
P. VAN LEEUWEN JR.'S BUIZEN-        HANDEL B.V.;ZWIJNDRECHT;676268
HOLLANDIA STRUCTURES B.V.;HEIJNINGEN;675132
STENA LINE B.V.;HOEK VAN HOLLAND;674924
AIRTRADE HOLLAND B.V.;HAARLEM;674280
M.J. VAN RIEL B.V.;TILBURG;674016
COPAL DEVELOPMENT B.V.;'S-HEERENBERG;672876
TRIFINANCE NEDERLAND B.V.;AMSTERDAM;672116
VICTORIA AMSTERDAM HOTEL OPERATOR B.V.;AMSTERDAM;671004
HERMES GROEP N.V.;EINDHOVEN;670432
MAATBEVEILIGING B.V.;CAPELLE AAN DEN IJSSEL;669340
THERMEN SOESTERBERG B.V.;SOESTERBERG;669212
KONINKLIJKE NEDSCHROEF HOLDING B.V.;HELMOND;668556
HELLOFLEX PEOPLE 200 B.V.;AMERSFOORT;668244
RADISSON HOTEL AMSTERDAM B.V.;AMSTERDAM;668148
JAN ZANDBERGEN B.V.;VEENENDAAL;667572
TIMESAVERS INTERNATIONAL B.V.;GOES;667464
GEESINK B.V.;EMMELOORD;667004
FRANKE NEDERLAND B.V.;HELMOND;666076
DUTCH FLEX GROUP B.V.;ZEVENAAR;666016
HAPPYNURSE UITZENDBUREAU B.V.;'S-GRAVENHAGE;665464
BCN B.V.;UTRECHT;663024
STARBUCKS COFFEE NETHERLANDS B.V.;AMSTERDAM;662492
HOTEL VIANEN B.V.;VIANEN UT;661928
CS DIGITAL MEDIA B.V.;AMSTERDAM;661716
E2M TECHNOLOGIES B.V.;AMSTERDAM;661604
TENTOO FLEXOLUTIONS B.V.;AMSTERDAM;660348
WEPRO ENGINEERING B.V.;WAGENINGEN;658660
ARCELORMITTAL STAALHANDEL B.V.;BORN;657988
CHROMALLOY HOLLAND B.V.;TILBURG;657672
KONINKLIJKE TEXTIELFABRIEKEN        J.A. RAYMAKERS & CO B.V.;HELMOND;657552
SENEFELDER MISSET DOETINCHEM B.V.;DOETINCHEM;657360
TENTOO FLEXSUPPORT B.V.;AMSTERDAM;655960
GLI EUROPE B.V.;HAARLEM;655412
PARTHOS B.V.;PANNINGEN;651704
EXPLOITATIEMAATSCHAPPIJ FOODFORCARE B.V.;VEGHEL;651576
7SEVEN B.V.;AMSTERDAM;650964
PDAY HUMAN CAPITAL B.V.;HAARLEM;649644
A.P.N. UITZENDBURO B.V.;UDEN;648796
ONSTREAM PROJECT SERVICES B.V.;DEN HELDER;647760
SMT NETHERLANDS B.V.;EMMELOORD;646644
SCHOUTEN TECHNIEK B.V.;ZWAAG;646416
MI COMPANY B.V.;AMSTERDAM;646368
KORN FERRY ADVISORY (NL) B.V.;AMSTERDAM;645412
MECC MAASTRICHT B.V.;MAASTRICHT;643576
SKOLEO B.V.;LEIDEN;643420
WEATHERFORD NETHERLANDS B.V.;DEN HELDER;643068
ACCOR HOSPITALITY NEDERLAND N.V.;AMSTERDAM;642404
AMERICAN HOTEL EXPLOITATIE B.V.;AMSTERDAM;640488
ABEOS AGRARISCH PERSONEEL B.V.;ALMEN;639660
MANPOWER LOGISTICS B.V.;DIEMEN;639256
HOTES CULTURE B.V.;AMSTERDAM;638880
FREMANTLEMEDIA NETHERLANDS B.V.;AMSTERDAM-DUIVENDRECHT;638732
STICHTING PARADISO AMSTERDAM;AMSTERDAM;638480
GUIDION NEDERLAND B.V.;AMSTERDAM;638072
KLIK UITZENDBUREAU B.V.;AMSTERDAM;637768
SNEL SHARED LOGISTICS B.V.;WOERDEN;637768
PEINEMANN KRANEN B.V.;HOOGVLIET ROTTERDAM;637608
UITZENDBUREAU MUTUA FIDES B.V.;GRONINGEN;637208
VERENIGING BUMA;HOOFDDORP;636620
HOLLAND PAYROLL B.V.;HEERENVEEN;636088
SGS SEARCH INGENIEURSBUREAU B.V.;HEESWIJK-DINTHER;635680
TEKA GROEP B.V.;BARNEVELD;635112
STERNPOINT B.V.;AMSTERDAM-DUIVENDRECHT;634708
ONEFIT UNLIMITED B.V.;AMSTERDAM;634632
HIBER B.V.;AMSTERDAM;632736
PAY FOR PEOPLE B.V.;ROTTERDAM;631860
ESTRON B.V.;EUROPOORT ROTTERDAM;630516
KLOOK TRAVEL TECHNOLOGY B.V.;AMSTERDAM;629964
HEUVELMAN SOUND & VISION B.V.;IJSSELSTEIN UT;629688
INTERNATIONAL HOTEL SUPPLY B.V.;SASSENHEIM;629392
COMPAGNON B.V.;ZOETERMEER;628588
NEP BROADCAST SERVICES B.V.;HILVERSUM;628544
LEONARDO OPCO OVERAMSTEL B.V.;AMSTERDAM;628416
N.B.C. EXPLOITATIE B.V.;NIEUWEGEIN;628392
PABAM B.V.;HOOGVLIET ROTTERDAM;628380
CITY 360 B.V.;ZWOLLE;627228
TECHNISCH ADVIES- EN INSTALLATIE-   BUREAU WARMTEBOUW UTRECHT B.V.;UTRECHT;626654
TSH MANAGEMENT B.V.;AMSTERDAM;626100
HOUT EN METAAL INTERIEURS HEMI B.V.;THOLEN;625840
SUNNY CARS GMBH;HAARLEM;625820
LINDEN IT B.V.;AMSTERDAM;625752
WILLEMSEN-DE KONING GROEP B.V.;ARNHEM;625704
TECLINE B.V.;ZWOLLE;625428
SENIOR AEROSPACE BOSMAN B.V.;BARENDRECHT;625316
STAG HOTELS NETHERLANDS B.V.;SCHIPHOL;625040
VOORTMAN SALES & ENGINEERING B.V.;RIJSSEN;624356
FRUITFUL OFFICE NEDERLAND B.V.;AMSTERDAM;623216
TENTOO DIRECTORS CAST & CREW B.V.;AMSTERDAM;623028
VDL NEDERLAND B.V.;EINDHOVEN;621220
KRAUTHAMMER INTERNATIONAL NETHER-   LANDS B.V.;HOOFDDORP;620776
VERWIEL & WIJNGAARD                 PERSONEELSPROJECTEN B.V.;ROTTERDAM;620536
SAPPI NETHERLANDS B.V.;MAASTRICHT;619692
COMPUTACENTER B.V.;AMSTELVEEN;619628
PPHE NL REGION B.V.;AMSTERDAM;618652
STICHT. TOT INSTANDHOUDING V/D DIER-GAARDE VAN HET KONINKLIJK ZOOLOGISCHGENOOTSCHAP NATURA ARTIS MAGISTRA;AMSTERDAM;618516
ALBRON NEDERLAND B.V.;DE MEERN;618500
UBM HOTEL ZUIDAS B.V.;AMSTERDAM;616880
MAMMOET ROAD CARGO B.V.;OUDENBOSCH;616512
EUROPEAN LEISURE INDUSTRIES B.V.;BOXTEL;615116
W.M.W. DIENSTVERLENING B.V.;LEKKERKERK;615104
NFGD ZOETERMEER B.V.;ZOETERMEER;613776
YONEGO B.V.;BREDA;612540
KRANENDONK INDUSTRIAL SERVICES B.V.;TIEL;612124
VACANSOLEIL B.V.;EINDHOVEN;611584
NIJHUIS WATER TECHNOLOGY B.V.;DOETINCHEM;611396
POLYGON NEDERLAND B.V.;ALPHEN AAN DEN RIJN;611288
VITAMINE & ZO B.V.;MOORDRECHT;611028
SERVICE CENTRE MAASTRICHT B.V.;MAASTRICHT;610380
TPS(TRANSACTION PROCESSING SERVICES)B.V.;AMSTERDAM;610084
FLEXSUPPORT B.V.;GRONINGEN;608576
LIJFERING DRANKEN B.V.;GRONINGEN;607924
XINDAO B.V.;RIJSWIJK ZH;607808
HOCO BETON B.V.;WEERT;606684
MEENDERING BOUW II B.V.;TER APEL;605408
SAFANDARLEY LOCHEM B.V.;LOCHEM;604960
EASYWORX FLEX B.V.;DEVENTER;604828
JLG EMEA B.V.;HOOFDDORP;604700
STADION AMSTERDAM C.V.;AMSTERDAM;604116
ABD GROEP B.V.;DRACHTEN;603776
POLYPLASTIC B.V.;ROTTERDAM;603660
CELLRO B.V.;VEENENDAAL;603156
PEOPLE PROFESSIONALS EUROPE B.V.;GRONINGEN;602692
1NERGIEK B.V.;LIJNDEN;602136
ULTIMO SOFTWARE SOLUTIONS B.V..;NUNSPEET;602028
ELMAR REIZEN B.V.;AMSTERDAM;601860
VERNAY EUROPA B.V.;OLDENZAAL;601060
TRIBUS B.V.;UTRECHT;600704
MOBILITEITSFABRIEK B.V.;AMERSFOORT;600568
MARTENS EN VAN OORD AANNEMINGS-     BEDRIJF B.V.;OOSTERHOUT NB;600260
STRUKTON CIVIEL NOORD & OOST B.V.;OLDENZAAL;599476
DE WAAL AUTOGROEP B.V.;TIEL;599108
IPSOS B.V.;AMSTERDAM;598948
WEALER B.V.;HEERLEN;598672
PEC ZWOLLE B.V.;ZWOLLE;598372
HORECA SERVICE NIJMEGEN III B.V.;NIJMEGEN;598228
CONSOLID PERSONEELSDIENSTEN B.V.;HOOFDDORP;597844
PF CONCEPT INTERNATIONAL B.V.;ROELOFARENDSVEEN;597800
IN PERSON FRANCHISE B.V.;APELDOORN;597712
STRUKTON CIVIEL PROJECTEN B.V.;UTRECHT;597036
ZWALUWHOEVE B.V.;HIERDEN;596504
BAAN TWENTE B.V.;HENGELO OV;595776
STICHTING HCO;'S-GRAVENHAGE;595744
KLAAS PUUL B.V.;VOLENDAM;594000
TOMASSEN DUCK-TO B.V.;ERMELO;593920
FLORYN B.V.;'S-HERTOGENBOSCH;593668
SIDIJK HEERENVEEN B.V.;HEERENVEEN;592020
AXENDER B.V.;NIEUWEGEIN;591552
VERHOEK INTERNATIONAAL              TRANSPORT B.V.;GENEMUIDEN;591368
HEISTERKAMP TRANSPORT B.V.;OLDENZAAL;590744
SMST DESIGNERS & CONSTRUCTORS B.V.;DRACHTEN;590588
RECO GROEP B.V.;HAARLEM;590548
VICENTRA MANUFACTURING B.V.;UTRECHT;589360
NEDERLAND REIST VOORDELIG B.V.;RIJSWIJK ZH;589232
OTRAVO B.V.;HALFWEG;588888
PAYNED PAYROLLING B.V.;STAPHORST;588692
HUISKES KOKKELER AUTOMOBIELBEDRIJVEN B.V.;HENGELO OV;587884
HEISTERKAMP TRANSPORT B.V.;OLDENZAAL;587840
PALATIUM AMSTELODAMUM N.V.;AMSTERDAM;587354
CITO B.V.;ARNHEM;586808
ATOS INTERNATIONAL GLOBAL FUNCTIONS B.V.;AMSTELVEEN;584668
SSI SCHAFER BV;ARNHEM;584572
FORTUNA SITTARD B.V.;SITTARD;583792
STC B.V.;ROTTERDAM;583460
RIFF DIGITAL ENGAGEMENT B.V.;AMSTERDAM;582592
HARWIG B.V.;EMMEN;581088
PAY FOR PEOPLE DIRECT B.V.;ROTTERDAM;580692
PRIME VISION B.V.;DELFT;578792
HADER DEVELOPMENT B.V.;'S-HERTOGENBOSCH;578492
MULLER'S DRUKKERIJ B.V.;LELYSTAD;578108
SATELLIET MEUBELEN B.V.;BREDA;577524
SODEXO ALTYS B.V.;ROTTERDAM;577328
VONQ B.V.;ROTTERDAM;577156
WUPPERMANN STAAL NEDERLAND B.V.;MOERDIJK;576904
HOLTROP - VAN DER VLIST B.V.;ASSEN;576776
PAPYRUS GROEP NEDERLAND B.V.;WIJCHEN;576712
AMS MULTISERVICE B.V.;AMSTERDAM;576484
VAN KRALINGEN B.V.;'S-GRAVENHAGE;575948
JET AVIATION NETHERLANDS B.V.;SCHIPHOL;575724
FRANK'S INTERNATIONAL COOPERATIEF   U.A.;DEN HELDER;575572
WILLEMSEN INTERIEURBOUW &           SCHEEPSBETIMMERING B.V.;HUISSEN;574184
HARD ROCK CAFE (AMSTERDAM) B.V.;AMSTERDAM;573980
AANNEMINGSBEDRIJF VERMEULEN         BENTHUIZEN B.V.;HAZERSWOUDE-DORP;573688
ZF MARINE KRIMPEN B.V.;KRIMPEN AAN DE LEK;573648
CINOP B.V.;'S-HERTOGENBOSCH;573436
ALUTECH NEDERLAND BV;KATWIJK ZH;573228
DUTCH THERMOPLASTIC COMPONENTS B.V.;ALMERE;572816
&SAMHOUD NEDERLAND B.V.;UTRECHT;572168
MANNESMANN PRECISION TUBES NETHERLANDS B.V.;HELMOND;570056
CUM LAUDE EVENTS B.V.;ZWIJNDRECHT;569724
STICHTING KUNSTMUSEUM DEN HAAG;'S-GRAVENHAGE;569616
THOMAS REGOUT INTERNATIONAL B.V.;MAASTRICHT;569548
AB OVO NEDERLAND B.V.;CAPELLE AAN DEN IJSSEL;568960
HOTELS VAN ORANJE B.V.;NOORDWIJK ZH;568844
TENCOURTS B.V.;SCHIPHOL-RIJK;567696
ROBERT WALTERS B.V.;AMSTERDAM;567236
SPIRIT HOSTESS SERVICES PROMO       ADVIEZEN B.V.;SCHIPHOL;566276
VREDO-DODEWAARD B.V.;DODEWAARD;566224
S.A.B. PROFIEL B.V.;IJSSELSTEIN UT;566036
STAM AUTOBEDRIJVEN B.V.;AMERSFOORT;565592
TRESSUNT UITZENDBUREAU B.V.;AMSTERDAM;564540
STICHTING VLUCHTELINGENWERK WEST EN MIDDEN-NEDERLAND;AMSTERDAM;562500
SCHMIDT ZEEVIS ROTTERDAM B.V.;ROTTERDAM;562096
BVO RKC WAALWIJK B.V.;WAALWIJK;562092
MAS DIENSTVERLENERS B.V.;AMSTERDAM-DUIVENDRECHT;561720
MOOG B.V.;NIEUW-VENNEP;561240
BAKKERS BRIGADE B.V.;OUDERKERK AAN DE AMSTEL;561220
CASA ACADEMICA AMSTERDAM B.V.;AMSTERDAM;560360
LEVI STRAUSS NEDERLAND B.V.;AMSTERDAM;559640
REPAY HRM SERVICES N.V.;TILBURG;559348
BETAALD VOETBAL DE GRAAFSCHAP B.V.;DOETINCHEM;559140
KEUKENHOF B.V.;LISSE;559052
FL B.V.;TIEL;558652
STICHTING STAYOKAY;AMSTERDAM;557952
SKYNRG B.V.;AMSTERDAM;557808
DE KONINKLIJKE NEDERLANDSE ZWEMBOND - KNZB;NIEUWEGEIN;557372
CTS EVENTIM NEDERLAND B.V.;HOOFDDORP;556968
